1,Gemüse & Pilze,Gemüse & Pilze,34,"0,4","2,8","6,6",15
2,Gemüse & Pilze,Blumenkohl,22,"0,3","2,5","2,3",15
3,Gemüse & Pilze,Karotten (roh),41,"0,2","0,9","9,6",30
4,Gemüse & Pilze,Spinat,23,"0,4","2,9","3,6",15
5,Gemüse & Pilze,Grünkohl,49,"0,9","4,3","8,8",15
6,Gemüse & Pilze,Zucchini,17,"0,3","1,2","3,1",15
7,Gemüse & Pilze,Paprika (rot),31,"0,3","1,0","6,0",15
8,Gemüse & Pilze,Aubergine,25,"0,2","1,0","5,9",20
9,Gemüse & Pilze,Kohlrabi,27,"0,1","1,7","6,2",15
10,Gemüse & Pilze,Rosenkohl,43,"0,3","3,4","9,0",15
11,Gemüse & Pilze,Tomaten,18,"0,2","0,9","3,9",30
12,Gemüse & Pilze,Lauch (Porree),61,"0,3","1,5","14,2",15
13,Gemüse & Pilze,Fenchel,31,"0,2","1,2","7,3",15
14,Gemüse & Pilze,Chinakohl,16,"0,2","1,2","3,2",12
15,Gemüse & Pilze,Spargel,20,"0,1","2,2","3,9",15
16,Gemüse & Pilze,Süßkartoffel,86,"0,1","1,6","20,1",50
17,Gemüse & Pilze,Kartoffel (mit Schale),77,"0,1","2,1","17,5",65
18,Gemüse & Pilze,Pastinake,75,"0,3","1,2","18,0",85
19,Gemüse & Pilze,Mais (roh),86,"1,4","3,3","18,7",65
20,Gemüse & Pilze,Rote Bete,43,"0,2","1,6","9,6",30
21,Gemüse & Pilze,Champignons (weiß),15,"0,2","2,2","2,3",15
22,Gemüse & Pilze,Champignons (braun),22,"0,1","2,5","4,3",15
23,Gemüse & Pilze,Austernpilze,33,"0,4","3,3","6,1",15
24,Gemüse & Pilze,Shiitake-Pilze,34,"0,5","2,2","6,8",15
25,Gemüse & Pilze,Pfifferlinge,38,"0,5","1,5","6,7",15
26,Gemüse & Pilze,Steinpilze,39,"0,2","3,7","6,7",15
27,Gemüse & Pilze,Morcheln,31,"0,6","3,1","5,1",15
28,Obst,Apfel,52,"0,2","0,3","11,4",35
29,Obst,Banane,89,"0,3","1,1","22,0",47
30,Obst,Birne,58,"0,1","0,4","15,5",33
31,Obst,Orange,47,"0,1","0,9","9,2",35
32,Obst,Erdbeere,32,"0,3","0,7","7,7",40
33,Obst,Heidelbeere,57,"0,3","0,7","14,5",53
34,Obst,Himbeere,34,"0,3","1,5","5,4",25
35,Obst,Kirsche,63,"0,2","1,0","16,0",22
36,Obst,Pfirsich,42,"0,1","0,9","10,0",35
37,Obst,Pflaume,46,"0,3","0,7","11,4",40
38,Obst,Ananas,50,"0,1","0,5","13,0",45
39,Obst,Mango,60,"0,4","0,8","14,0",51
40,Obst,Wassermelone,30,"0,2","0,6","8,0",75
41,Obst,Honigmelone,36,"0,1","0,8","9,0",65
42,Obst,Grapefruit,42,"0,1","0,8","8,0",25
43,Obst,Kiwi,61,"0,5","1,1","15,0",50
44,Obst,Traube (rot),69,"0,2","0,6","17,0",45
45,Obst,Dattel (getrocknet),277,"0,2","2,0","75,0",54
46,Obst,Feige (frisch),74,"0,3","0,8","16,0",35
47,Obst,Aprikose,48,"0,1","1,4","11,0",30
48,Obst,Avocado,160,"15,0","2,0","9,0",10
49,Getreide & Getreideprodukte,Weizen (Weichweizen),302,"1,8","10,9","59,5",71
50,Getreide & Getreideprodukte,Dinkel,338,"2,4","14,6","70,2",45
51,Getreide & Getreideprodukte,Roggen,323,"1,7","9,5","60,7",34
52,Getreide & Getreideprodukte,Gerste,324,"2,1","9,8","63,3",28
53,Getreide & Getreideprodukte,Hafer,349,"7,1","10,7","55,7",55
54,Getreide & Getreideprodukte,Hirse,360,"3,9","10,6","68,8",71
55,Getreide & Getreideprodukte,Mais,341,"1,4","9,4","74,3",55
56,Getreide & Getreideprodukte,Reis (weiß),344,"0,6","6,7","78,9",73
57,Getreide & Getreideprodukte,Reis (braun),362,"2,7","7,5","76,2",68
58,Getreide & Getreideprodukte,Quinoa,343,"5,0","13,8","58,5",53
59,Getreide & Getreideprodukte,Buchweizen,343,"3,4","13,3","71,5",54
60,Getreide & Getreideprodukte,Amaranth,371,"7,0","13,6","65,3",97
61,Getreide & Getreideprodukte,Bulgur,342,"1,3","12,3","75,9",46
62,Getreide & Getreideprodukte,Couscous,376,"0,6","12,8","77,4",65
63,Getreide & Getreideprodukte,Grünkern,342,"2,7","12,0","63,0",35
64,Getreide & Getreideprodukte,Weizengrieß,335,"1,0","10,6","72,0",66
65,Getreide & Getreideprodukte,Polenta (Maisgrieß),350,"1,0","8,0","75,0",68
66,Getreide & Getreideprodukte,Haferflocken,371,"7,0","13,5","60,0",55
67,Getreide & Getreideprodukte,Weizenvollkornmehl,340,"2,0","12,0","70,0",60
68,Getreide & Getreideprodukte,Weißmehl (Type 405),364,"1,0","10,0","76,0",85
69,Getreide & Getreideprodukte,Reisnudeln,364,"0,6","7,0","80,0",61
